,TransactionCount,Recency,AverageAmount,Age,TotalAmount,Cluster
33059,1,84,591.0,33,591.0,1
33060,1,268,606.91,26,606.91,1
33061,1,267,240.63,27,240.63,2
33062,1,84,222.0,32,222.0,0
33063,1,23,250.0,26,250.0,2
33064,1,108,20.0,21,20.0,2
33065,1,54,199.0,28,199.0,2
33066,1,84,53.0,26,53.0,2
33067,1,129,43.0,30,43.0,2
33068,1,268,70.0,31,70.0,0
33069,1,133,409.52,26,409.52,2
33070,1,206,100.0,29,100.0,2
33071,1,114,16.0,35,16.0,0
33072,1,127,607.0,36,607.0,1
33073,1,97,100.0,35,100.0,0
33074,1,23,270.0,29,270.0,2
33075,1,207,405.0,29,405.0,0
33076,1,110,362.0,32,362.0,0
33077,1,328,151.29,30,151.29,2
33078,1,129,500.0,30,500.0,1
33079,1,126,968.0,23,968.0,1
33080,1,125,220.0,30,220.0,0
33081,1,85,500.0,24,500.0,1
33082,1,206,340.0,24,340.0,2
33083,1,140,981.0,31,981.0,1
33084,1,145,254.31,23,254.31,2
33085,1,298,236.0,23,236.0,2
33086,1,136,39.0,34,39.0,0
33087,1,133,549.0,30,549.0,1
33088,1,135,135.0,26,135.0,2
33089,1,126,255.0,26,255.0,2
33090,1,131,80.0,27,80.0,2
33091,1,133,30.0,24,30.0,2
33092,1,108,950.0,26,950.0,1
33093,1,358,200.0,27,200.0,2
33094,1,146,100.0,29,100.0,2
33095,1,176,30.0,25,30.0,2
33096,1,24,708.0,38,708.0,1
33097,1,135,50.0,33,50.0,0
33098,1,132,38.0,25,38.0,2
33099,1,176,556.0,24,556.0,1
33100,1,110,100.0,26,100.0,2
33101,1,123,265.0,33,265.0,0
33102,1,23,29.0,25,29.0,2
33103,1,139,400.0,35,400.0,0
33104,1,134,187.23,23,187.23,2
33105,1,237,950.0,38,950.0,1
33106,1,176,60.0,20,60.0,2
33107,1,109,70.0,20,70.0,2
33108,1,131,160.0,29,160.0,2
33109,1,114,271.0,32,271.0,0
33110,1,132,95.0,34,95.0,0
33111,1,97,375.0,28,375.0,2
33112,1,123,19.0,22,19.0,2
33113,1,140,450.0,26,450.0,1
33114,1,327,399.0,20,399.0,2
33115,1,358,27.0,26,27.0,2
33116,1,54,308.0,29,308.0,2
33117,1,130,30.0,27,30.0,2
33118,1,359,100.0,34,100.0,0
33119,1,299,600.0,29,600.0,1
33120,1,177,400.0,34,400.0,0
33121,1,131,50.0,25,50.0,2
33122,1,238,264.0,26,264.0,2
33123,1,136,399.0,32,399.0,0
33124,1,177,575.0,25,575.0,1
33125,1,115,614.0,33,614.0,1
33126,1,123,195.0,29,195.0,2
33127,1,134,515.0,30,515.0,1
33128,1,177,195.0,28,195.0,2
33129,1,129,50.0,30,50.0,2
33130,1,114,910.0,26,910.0,1
33131,1,327,200.0,31,200.0,0
33132,1,123,50.0,23,50.0,2
33133,1,298,562.0,29,562.0,1
33134,1,207,476.0,27,476.0,1
33135,1,126,200.0,37,200.0,0
33136,1,132,350.0,33,350.0,0
33137,1,146,259.0,28,259.0,2
33138,1,141,10.0,20,10.0,2
33139,1,299,261.0,41,261.0,0
33140,1,267,50.0,29,50.0,2
33141,1,53,200.0,31,200.0,0
33142,1,358,1000.0,33,1000.0,1
33143,1,124,999.0,37,999.0,1
33144,1,176,144.0,24,144.0,2
33145,1,123,230.0,28,230.0,2
33146,1,131,100.0,28,100.0,2
33147,1,24,100.0,32,100.0,0
33148,1,358,657.0,27,657.0,1
33149,1,131,200.0,26,200.0,2
33150,1,268,300.0,27,300.0,2
33151,1,299,352.0,27,352.0,2
33152,1,23,50.0,28,50.0,2
33153,2,23,131.62,31,263.24,0
33154,1,267,1000.0,37,1000.0,1
33155,1,299,150.0,31,150.0,0
33156,1,96,799.0,37,799.0,1
33157,1,328,499.0,26,499.0,1
33158,1,135,25.0,30,25.0,2
33159,1,109,600.0,29,600.0,1
33160,1,97,400.0,31,400.0,0
33161,1,267,575.0,23,575.0,1
33162,1,85,10.0,28,10.0,2
33163,1,146,880.0,24,880.0,1
33164,1,96,30.79,22,30.79,2
33165,1,141,666.0,31,666.0,1
33166,1,177,325.0,30,325.0,0
33167,1,131,15.0,22,15.0,2
33168,1,84,472.0,32,472.0,1
33169,1,136,240.0,36,240.0,0
33170,1,135,784.64,35,784.64,1
33171,1,124,270.0,29,270.0,2
33172,1,126,303.0,25,303.0,2
33173,1,24,198.0,39,198.0,0
33174,1,268,97.0,28,97.0,2
33175,1,268,78.0,25,78.0,2
33176,1,129,70.0,23,70.0,2
33177,1,127,244.0,25,244.0,2
33178,1,124,20.0,25,20.0,2
33179,1,328,630.0,25,630.0,1
33180,1,132,174.0,32,174.0,0
33181,1,328,20.0,36,20.0,0
33182,1,298,10.0,24,10.0,2
33183,1,130,25.0,28,25.0,2
33184,1,105,70.0,36,70.0,0
33185,2,124,99.49,27,198.98,2
33186,1,105,340.0,30,340.0,0
33187,1,268,363.0,27,363.0,2
33188,1,134,80.0,24,80.0,2
33189,1,101,683.0,35,683.0,1
33190,1,328,1000.0,27,1000.0,1
33191,1,100,235.0,22,235.0,2
33192,1,84,416.0,29,416.0,1
33193,1,146,499.0,23,499.0,1
33194,1,358,532.0,31,532.0,1
33195,1,128,530.73,26,530.73,1
33196,1,24,402.0,35,402.0,0
33197,1,177,200.0,31,200.0,0
33198,1,140,100.0,26,100.0,2
33199,1,130,98.0,25,98.0,2
33200,1,140,280.0,30,280.0,0
33201,1,328,310.0,35,310.0,0
33202,1,359,300.0,28,300.0,2
33203,1,146,100.0,23,100.0,2
33204,1,146,630.0,27,630.0,1
33205,1,109,149.0,33,149.0,0
33206,1,298,50.0,23,50.0,2
33207,1,207,123.0,26,123.0,2
33208,1,108,10.0,26,10.0,2
33209,1,53,615.0,30,615.0,1
33210,1,96,100.0,22,100.0,2
33211,1,136,215.0,23,215.0,2
33212,1,84,50.0,29,50.0,2
33213,1,134,50.0,31,50.0,2
33214,1,138,389.0,34,389.0,0
33215,1,136,1.0,24,1.0,2
33216,1,54,179.0,32,179.0,0
33217,1,129,339.0,35,339.0,0
33218,1,124,175.0,25,175.0,2
33219,1,131,10.0,25,10.0,2
33220,1,72,500.0,35,500.0,0
33221,1,130,200.0,27,200.0,2
33222,1,135,10.0,34,10.0,0
33223,1,24,1000.0,31,1000.0,1
33224,1,146,200.0,30,200.0,2
33225,1,358,650.0,22,650.0,1
33226,1,84,333.32,31,333.32,0
33227,1,124,400.0,23,400.0,2
33228,1,132,900.0,27,900.0,1
33229,1,134,20.0,29,20.0,2
33230,1,267,350.0,39,350.0,0
33231,1,23,500.0,28,500.0,1
33232,1,98,360.0,33,360.0,0
33233,1,359,20.0,23,20.0,2
33234,1,140,285.0,20,285.0,2
33235,1,177,410.0,30,410.0,0
33236,1,137,200.0,25,200.0,2
33237,1,299,370.0,35,370.0,0
33238,1,124,200.0,27,200.0,2
33239,1,299,100.0,23,100.0,2
33240,1,141,599.0,29,599.0,1
33241,1,237,1000.0,26,1000.0,1
33242,1,127,197.0,36,197.0,0
33243,1,177,215.0,24,215.0,2
33244,1,140,300.0,28,300.0,2
33245,1,128,666.0,30,666.0,1
33246,1,114,300.0,32,300.0,0
33247,1,206,70.0,21,70.0,2
33248,1,85,240.0,26,240.0,2
33249,1,133,803.0,27,803.0,1
33250,1,206,30.0,24,30.0,2
33251,1,206,111.9,26,111.9,2
33252,1,114,500.0,30,500.0,1
33253,1,140,500.0,29,500.0,1
33254,1,125,38.0,29,38.0,2
33255,1,358,246.0,27,246.0,2
33256,1,141,545.0,30,545.0,1
33257,1,127,729.0,41,729.0,1
